gamesPlayed,averageTDError,weightDelta,weightMean,weightStdDev,weightMaxAbs,weightNearZero,weightLarge
735000, 0.039199036, 0.028220968, 0.0013183989, 0.11813607, 2.7475164, 617, 0
736000, 0.038923055, 0.029224943, 0.001312605, 0.118178114, 2.7474833, 617, 0
737000, 0.037601903, 0.02868689, 0.0013048719, 0.11822309, 2.7473671, 617, 0
738000, 0.038634874, 0.026751248, 0.0013008697, 0.11824204, 2.7478232, 617, 0
739000, 0.038853813, 0.035728756, 0.0013188659, 0.11824564, 2.7482998, 617, 0
740000, 0.03840861, 0.024564637, 0.0013240257, 0.11825312, 2.748725, 617, 0
741000, 0.03858128, 0.046686113, 0.0013071392, 0.11832658, 2.7484274, 617, 0
742000, 0.03814344, 0.046681367, 0.0013338109, 0.11832613, 2.7485566, 617, 0
743000, 0.037925947, 0.035444524, 0.0013197241, 0.11837855, 2.7482576, 617, 0
744000, 0.039111868, 0.032247998, 0.0013350372, 0.118374154, 2.748569, 617, 0
745000, 0.03970927, 0.03341131, 0.0013498596, 0.11839307, 2.748719, 617, 0
746000, 0.03838278, 0.03013281, 0.0013384472, 0.11843962, 2.7489505, 617, 0
747000, 0.03879122, 0.031229965, 0.0013259219, 0.118484266, 2.7491646, 617, 0
748000, 0.03767766, 0.023948982, 0.0013346781, 0.11850237, 2.7493362, 617, 0
749000, 0.038916327, 0.018229932, 0.0013348557, 0.11853086, 2.7492964, 617, 0
750000, 0.03839547, 0.028960869, 0.0013256712, 0.11856963, 2.7495916, 617, 0
751000, 0.038114745, 0.037309326, 0.0013429904, 0.11859865, 2.7497156, 617, 0
752000, 0.038090408, 0.023973307, 0.0013405599, 0.11863918, 2.7500226, 617, 0
753000, 0.03806322, 0.022599557, 0.001336269, 0.11867808, 2.7500138, 617, 0
754000, 0.038255047, 0.025498979, 0.0013450605, 0.1186764, 2.750258, 617, 0
755000, 0.038170516, 0.02172853, 0.0013441881, 0.118721224, 2.7504117, 617, 0
756000, 0.038954366, 0.026935738, 0.0013392575, 0.11875285, 2.7502635, 617, 0
757000, 0.038169526, 0.018729819, 0.0013371574, 0.118786074, 2.750558, 617, 0
758000, 0.038365044, 0.020880325, 0.0013355849, 0.118832976, 2.7508962, 617, 0
759000, 0.03863301, 0.037391875, 0.0013544995, 0.11882984, 2.750883, 617, 0
760000, 0.038634665, 0.017040826, 0.0013594613, 0.118848786, 2.7511597, 617, 0
761000, 0.038707975, 0.0232645, 0.0013594351, 0.11886491, 2.7510502, 617, 0
762000, 0.037879106, 0.043180678, 0.0013382906, 0.11893148, 2.7509987, 617, 0
763000, 0.03832877, 0.020392828, 0.0013420259, 0.11894393, 2.7512774, 617, 0
764000, 0.037432466, 0.019805234, 0.0013377604, 0.11899205, 2.7513134, 617, 0
765000, 0.038883913, 0.023763213, 0.0013406212, 0.11901987, 2.7519236, 617, 0
766000, 0.038182244, 0.03321079, 0.0013293063, 0.11907115, 2.7517707, 617, 0
767000, 0.03785253, 0.022777854, 0.0013259499, 0.11911265, 2.7518132, 617, 0
768000, 0.03850435, 0.049275726, 0.0013515764, 0.119096726, 2.7521353, 617, 0
769000, 0.038106587, 0.0227762, 0.0013581048, 0.11913245, 2.7521598, 617, 0
770000, 0.038967162, 0.030670505, 0.0013455349, 0.11917313, 2.7523837, 617, 0
771000, 0.03823179, 0.021888081, 0.0013503943, 0.11919039, 2.7528648, 617, 0
772000, 0.038353596, 0.022844652, 0.0013415172, 0.11922457, 2.7528021, 617, 0
773000, 0.03846167, 0.022280637, 0.0013485379, 0.11924208, 2.75301, 617, 0
774000, 0.037777975, 0.018793844, 0.0013474167, 0.119284995, 2.7525332, 617, 0
775000, 0.038641278, 0.023363924, 0.0013450609, 0.119309545, 2.7525735, 617, 0
776000, 0.038542546, 0.02879136, 0.001357228, 0.119316906, 2.752632, 617, 0
777000, 0.038426988, 0.02679526, 0.0013455369, 0.119362295, 2.7528074, 617, 0
778000, 0.037867755, 0.029727364, 0.0013349623, 0.11942274, 2.7527287, 617, 0
779000, 0.03662636, 0.046147786, 0.0013587504, 0.11943447, 2.7529516, 617, 0
780000, 0.036863904, 0.025690172, 0.0013508982, 0.11948535, 2.7530117, 617, 0
781000, 0.03743001, 0.02541898, 0.0013438595, 0.11953557, 2.7530346, 617, 0
782000, 0.03810502, 0.029796906, 0.0013597036, 0.11955691, 2.7534423, 617, 0
783000, 0.03774099, 0.026409041, 0.0013491753, 0.119604364, 2.7536566, 617, 0
784000, 0.038103096, 0.02467862, 0.0013604242, 0.11961108, 2.7537448, 617, 0
785000, 0.03719279, 0.027461726, 0.0013732548, 0.11962346, 2.7537892, 617, 0
786000, 0.038118113, 0.020443637, 0.0013691701, 0.11967251, 2.7538276, 617, 0
787000, 0.03859647, 0.031806745, 0.0013554808, 0.119706094, 2.7543645, 617, 0
788000, 0.038055632, 0.024265103, 0.0013475849, 0.11975887, 2.7547436, 617, 0
789000, 0.03765571, 0.0406067, 0.0013689446, 0.11976505, 2.7548728, 617, 0
790000, 0.037637245, 0.018600082, 0.001366208, 0.119783804, 2.754687, 618, 0
791000, 0.03765387, 0.03640388, 0.0013863697, 0.119802855, 2.7549918, 618, 0
792000, 0.03869518, 0.021451918, 0.0013795198, 0.11982591, 2.7550666, 618, 0
793000, 0.03798144, 0.03880919, 0.001397621, 0.119829684, 2.7553327, 618, 0
794000, 0.038252596, 0.031544313, 0.0013845286, 0.11987738, 2.755256, 618, 0
