gamesPlayed,averageTDError,weightDelta,weightMean,weightStdDev,weightMaxAbs,weightNearZero,weightLarge
955000, 0.03422676, 0.010633152, -0.001392839, 0.15157703, 5.3251667, 630, 2
956000, 0.03457753, 0.008777489, -0.0013911062, 0.15160613, 5.3255997, 630, 2
957000, 0.03516618, 0.028030897, -0.001374645, 0.1516173, 5.321091, 630, 2
958000, 0.03350263, 0.026081381, -0.0013889951, 0.15166992, 5.3285623, 630, 2
959000, 0.035178095, 0.013344242, -0.0013822708, 0.15169555, 5.327873, 630, 2
960000, 0.034513917, 0.010053218, -0.0013801099, 0.15172976, 5.327848, 630, 2
961000, 0.034082517, 0.009376357, -0.001378689, 0.15176179, 5.328515, 630, 2
962000, 0.033611026, 0.0107471235, -0.0013744275, 0.15179265, 5.329058, 630, 2
963000, 0.03413882, 0.013623026, -0.001368071, 0.15181959, 5.328419, 630, 2
964000, 0.03389481, 0.0140595315, -0.0013733415, 0.15185657, 5.3327274, 629, 2
965000, 0.034259412, 0.015360705, -0.001380912, 0.15189736, 5.338637, 629, 2
966000, 0.034762304, 0.009368624, -0.0013805903, 0.15193065, 5.3398023, 629, 2
967000, 0.03352894, 0.012269393, -0.0013760679, 0.15196069, 5.33893, 629, 2
968000, 0.03431671, 0.010097926, -0.0013803542, 0.15199848, 5.3430824, 629, 2
969000, 0.03400696, 0.018833013, -0.0013696454, 0.15201999, 5.340632, 629, 2
970000, 0.03419512, 0.007768428, -0.001369283, 0.1520536, 5.342999, 629, 2
971000, 0.033949636, 0.019768368, -0.0013796069, 0.15209596, 5.3493576, 629, 2
972000, 0.034177687, 0.008134394, -0.0013790305, 0.15213004, 5.3519335, 629, 2
973000, 0.033358082, 0.018402502, -0.0013888564, 0.15217267, 5.3569636, 629, 2
974000, 0.03398471, 0.019083105, -0.0013781186, 0.15219213, 5.353758, 629, 2
975000, 0.033303976, 0.009507559, -0.0013797476, 0.15223023, 5.3559895, 629, 2
976000, 0.034064926, 0.00961206, -0.0013829181, 0.1522637, 5.359176, 629, 2
977000, 0.035235874, 0.015651112, -0.0013743808, 0.15228312, 5.357425, 629, 2
978000, 0.03451021, 0.010976741, -0.0013697124, 0.15231001, 5.3563156, 629, 2
979000, 0.033809926, 0.01242979, -0.0013745282, 0.15234803, 5.3609223, 629, 2
980000, 0.0346153, 0.015400163, -0.0013659229, 0.15236779, 5.3592668, 629, 2
981000, 0.03414436, 0.008581567, -0.0013633339, 0.1523945, 5.358834, 629, 2
982000, 0.034593996, 0.01467579, -0.0013555693, 0.15241712, 5.35932, 629, 2
983000, 0.033791874, 0.010052759, -0.0013595003, 0.1524521, 5.363194, 629, 2
984000, 0.034190763, 0.02527329, -0.00134471, 0.15246731, 5.359871, 629, 2
985000, 0.0343573, 0.009002189, -0.0013466248, 0.15250444, 5.3621483, 629, 2
986000, 0.034569155, 0.019189294, -0.0013353592, 0.15252192, 5.358999, 629, 2
987000, 0.033783734, 0.021935575, -0.0013226866, 0.15254185, 5.35553, 629, 2
988000, 0.034268968, 0.016777154, -0.0013132208, 0.1525639, 5.352787, 629, 2
989000, 0.03430792, 0.009079431, -0.0013105709, 0.15258995, 5.354074, 629, 2
990000, 0.034542426, 0.025354944, -0.001295546, 0.15260224, 5.3506393, 629, 2
991000, 0.033901047, 0.008969906, -0.0012958468, 0.15263435, 5.3528314, 629, 2
992000, 0.03370915, 0.007688717, -0.0012950294, 0.1526651, 5.3548894, 629, 2
993000, 0.033827785, 0.015833883, -0.0012864963, 0.15268649, 5.3528223, 629, 2
994000, 0.033576474, 0.008927401, -0.0012854931, 0.15271589, 5.352655, 629, 2
995000, 0.034238033, 0.037362915, -0.0012631499, 0.15272437, 5.3441324, 629, 2
996000, 0.03301539, 0.017316885, -0.0012707826, 0.15276362, 5.350435, 629, 2
997000, 0.033847224, 0.008518628, -0.0012699162, 0.15279168, 5.3501725, 629, 2
998000, 0.033635337, 0.008037478, -0.0012699447, 0.15282199, 5.3514476, 629, 2
999000, 0.033813313, 0.015687244, -0.001261511, 0.15284367, 5.3492646, 629, 2
1000000, 0.034094404, 0.010854678, -0.0012565166, 0.15286918, 5.3493814, 629, 2
1001000, 0.033890657, 0.012957908, -0.0012501169, 0.15289168, 5.34893, 629, 2
1002000, 0.033576112, 0.019211233, -0.0012605229, 0.15293065, 5.355687, 629, 2
1003000, 0.03389686, 0.008265027, -0.0012601234, 0.15296273, 5.357931, 629, 2
1004000, 0.03357397, 0.010775368, -0.001262713, 0.1529966, 5.3599463, 629, 2
1005000, 0.033130825, 0.008886626, -0.0012614378, 0.15302798, 5.36049, 629, 2
1006000, 0.032715064, 0.014271482, -0.0012533074, 0.15305102, 5.3589187, 629, 2
1007000, 0.033783104, 0.009104722, -0.001249466, 0.15307629, 5.359101, 629, 2
1008000, 0.03348328, 0.014994055, -0.0012569345, 0.15311211, 5.3642116, 629, 2
1009000, 0.03365117, 0.02418924, -0.0012425412, 0.15312488, 5.359212, 629, 2
1010000, 0.0334906, 0.011597633, -0.001236875, 0.15314801, 5.3582487, 629, 2
1011000, 0.03350179, 0.012484753, -0.0012306313, 0.1531728, 5.358063, 629, 2
1012000, 0.033868685, 0.014967084, -0.0012224213, 0.15319213, 5.355532, 629, 2
1013000, 0.033348, 0.00854487, -0.0012225754, 0.1532229, 5.355939, 629, 2
1014000, 0.032899886, 0.014262186, -0.0012150883, 0.15324613, 5.354018, 629, 2
1015000, 0.033420086, 0.009086938, -0.0012117632, 0.1532691, 5.354801, 629, 2
1016000, 0.03431687, 0.0358457, -0.0011900944, 0.15326996, 5.346624, 629, 2
1017000, 0.033854876, 0.008464624, -0.0011907433, 0.15329856, 5.3481746, 629, 2
1018000, 0.033521716, 0.022242203, -0.001177573, 0.15331508, 5.343634, 629, 2
1019000, 0.033612307, 0.023093237, -0.0011637906, 0.15332992, 5.3395095, 629, 2
1020000, 0.032931242, 0.008876997, -0.0011632289, 0.15335813, 5.342306, 629, 2
1021000, 0.033620026, 0.018961739, -0.0011521764, 0.15337406, 5.3391047, 629, 2
1022000, 0.03294572, 0.020924117, -0.0011401724, 0.15338942, 5.3348565, 630, 2
1023000, 0.033147633, 0.016796034, -0.0011308232, 0.15340576, 5.3324842, 630, 2
1024000, 0.033819165, 0.019528115, -0.0011196468, 0.15342352, 5.3293114, 630, 2
1025000, 0.033039156, 0.011594116, -0.0011236136, 0.1534597, 5.3330636, 630, 2
1026000, 0.033850674, 0.028531492, -0.0011067388, 0.15346768, 5.3267684, 630, 2
1027000, 0.03323317, 0.010519755, -0.0011023196, 0.15349302, 5.326717, 630, 2
1028000, 0.032662172, 0.009160332, -0.001099205, 0.15351863, 5.3273973, 629, 2
1029000, 0.03279692, 0.022917083, -0.001085468, 0.15353128, 5.3228273, 629, 2
1030000, 0.03307928, 0.008662899, -0.0010861927, 0.1535613, 5.325248, 629, 2
1031000, 0.033692475, 0.037184313, -0.0010636605, 0.15356681, 5.316706, 629, 2
1032000, 0.03251671, 0.015291444, -0.0010694773, 0.15360449, 5.319661, 629, 2
1033000, 0.0329377, 0.011297748, -0.0010656525, 0.15362997, 5.319016, 629, 2
1034000, 0.03197335, 0.011868521, -0.0010692234, 0.15366355, 5.322106, 629, 2
1035000, 0.032702528, 0.014445213, -0.0010610544, 0.15368298, 5.3199396, 629, 2
1036000, 0.033142596, 0.008446262, -0.001059695, 0.15371083, 5.3221254, 629, 2
1037000, 0.03320291, 0.031982016, -0.0010403148, 0.15371394, 5.31422, 629, 2
1038000, 0.032855943, 0.0143417455, -0.0010462195, 0.15374953, 5.319549, 629, 2
1039000, 0.032994922, 0.033008635, -0.0010263969, 0.15375455, 5.3118176, 629, 2
1040000, 0.032381736, 0.008220428, -0.0010263992, 0.15378281, 5.3145294, 629, 2
1041000, 0.032725, 0.012120432, -0.0010310552, 0.15381661, 5.3194165, 629, 2
1042000, 0.03248187, 0.011729253, -0.0010250474, 0.15383768, 5.31814, 629, 2
1043000, 0.033556607, 0.023614792, -0.0010110057, 0.15384942, 5.313249, 629, 2
1044000, 0.03201528, 0.029765518, -0.001027325, 0.15389922, 5.322367, 629, 2
1045000, 0.03278454, 0.017358351, -0.0010174622, 0.15391617, 5.318455, 629, 2
1046000, 0.032579213, 0.012483587, -0.001022502, 0.15395117, 5.3237453, 629, 2
1047000, 0.032619286, 0.013952197, -0.0010147323, 0.15397266, 5.3217773, 629, 2
1048000, 0.03265986, 0.007871496, -0.0010133126, 0.15399641, 5.3230424, 629, 2
1049000, 0.03323807, 0.029912058, -9.95174E-4, 0.15400276, 5.3164954, 629, 2
